identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
customers.gitlab.com,URL,Server-side Denial of Service is out of scope as per our Policy.,true,true,,,,critical,"Rails, Google Cloud Platform, Ruby",2018-12-12 15:28:03 UTC,2023-01-31 08:42:15 UTC
registry.gitlab.com,URL,"",true,true,,,,critical,,2018-12-12 15:29:00 UTC,2018-12-12 15:29:00 UTC
gitlab.com,URL,"",true,true,,,,critical,"Rails, PostgresSQL, Google Cloud Platform, Ruby",2018-12-12 15:29:16 UTC,2023-07-13 09:09:02 UTC
dashboards.gitlab.com,URL,"",false,false,,,,critical,,2018-12-12 15:30:15 UTC,2018-12-12 15:30:15 UTC
alerts.gitlab.com,URL,"",false,false,,,,critical,,2018-12-12 15:30:42 UTC,2018-12-12 15:30:42 UTC
support.gitlab.com,URL,"",false,false,,,,critical,,2018-12-12 15:31:03 UTC,2018-12-12 15:31:03 UTC
shop.gitlab.com,URL,"",false,false,,,,critical,,2018-12-12 15:31:21 UTC,2018-12-12 15:31:21 UTC
forum.gitlab.com,URL,"",false,false,,,,critical,,2018-12-12 15:31:49 UTC,2018-12-12 15:31:50 UTC
status.gitlab.com,URL,"",false,false,,,,critical,,2018-12-12 15:32:37 UTC,2018-12-12 15:32:38 UTC
Your Own GitLab Instance,OTHER,"",true,true,,,,critical,"PostgresSQL, Ruby, Rails",2019-10-22 16:26:49 UTC,2020-04-20 20:20:26 UTC
partners.gitlab.com,URL,"",false,false,,,,critical,,2020-06-22 15:49:19 UTC,2020-06-22 15:49:19 UTC
aptly.gitlab.com,URL,"",false,false,,,,critical,,2020-07-29 16:33:29 UTC,2020-07-29 16:33:29 UTC
translate.gitlab.com,URL,"",false,false,,,,critical,,2020-08-18 20:42:07 UTC,2020-08-18 20:42:08 UTC
https://gitlab.com/gitlab-org/gitlab,SOURCE_CODE,"",true,true,,,,critical,"PostgresSQL, JavaScript, Rails, Ruby, VUE",2020-10-05 18:36:31 UTC,2020-10-05 18:36:31 UTC
https://gitlab.com/gitlab-org/gitlab-runner,SOURCE_CODE,"",true,true,,,,critical,Go,2020-10-05 18:38:28 UTC,2020-10-05 18:38:28 UTC
https://gitlab.com/gitlab-org/gitaly,SOURCE_CODE,"",true,true,,,,critical,"Go, Ruby",2020-10-05 18:39:31 UTC,2020-10-05 18:39:31 UTC
https://gitlab.com/gitlab-org/gitlab-pages,SOURCE_CODE,"",true,true,,,,critical,Go,2020-10-05 18:40:59 UTC,2020-10-05 18:40:59 UTC
https://gitlab.com/gitlab-org/gitlab-shell,SOURCE_CODE,"",true,true,,,,critical,"Go, Ruby",2020-10-05 18:41:33 UTC,2020-10-05 18:41:33 UTC
